"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
7,"due date change , exiting customer no offer",9,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good|Overall satisfaction – Everything was ok/without problems"
10,I like the flexible loan the most.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,loan approval fast hain,10,Promoters,"Application Process - Easy, Fast and Convenient"
1,interest rat jada hai,0,Detractor,No positive reason
9,loan approval fast hain,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,easy application process,10,Promoters,No positive reason
9,According to the customer the due date of EMI is quite good.,9,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems|Customer care service is good
10,fast service,10,Promoters,"Application Process - Easy, Fast and Convenient|Affordable Product & Services - Price, fees and terms"
10,phone liya or loan mil gya yhi acha lga,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
9,Quick loan approvals,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,everything is good = customer care se baat karna easy nhi hai.,8,Passive,No positive reason
10,LOAN JALDI APPROVED HO JATA H,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
9,"Mai 2 Months se Customer Care par call connect karne ki kosis kar raha hai lekin nhi ho pa raha hai, ishi wajh se itna Rating de raha hu.",9,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
10,Easy loan from home credit.,10,Promoters,Customer care service is good
10,OVERALL SERVICE IS GOOD,10,Promoters,Already recommended to my friends
10,time pr loan mil jata h,10,Promoters,No positive reason
10,get loan when they need,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
8,customer care service is not good,10,Promoters,Good previous experience / HC resolved my problem
10,"Nothing much was asked from me in Home Credit, the loan was approved immediately, the service of flexible loan is also very good.",10,Promoters,Overall satisfaction – Everything was ok/without problems|Already recommended to my friends
10,Loans are easily available.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
8,payment time se nahi kati,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,LOAN JALDI APPROVED HO JATA H AND ONLINE SERVICE ACHI LAGI,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,jarurat pr loan mil jata h,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,there is no contact with customer care,8,Passive,No positive reason
10,"ONLINE PROCESS HAI , DOCUMENTS KAM LAGTE  , FAST APPLICATION PROCESS",10,Promoters,No positive reason
10,process good,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,Home Credit se acha loan Offers Milta hai ghar baithe har kaam ho jata hai.,8,Passive,No positive reason
7,customer care se baat nahi Ho paati,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,loan approval fast hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
10,Untimely loans are available.,10,Promoters,I received the loan from HC when I was in need
7,flexible loan men extra charge kat raha h,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
10,quick loan approval service,8,Passive,"No positive reason|Application Process - Easy, Fast and Convenient"
10,jarurat ke time par loan mil jata,10,Promoters,I received the loan from HC when I was in need
8,customer ko loan ki all information honi chyai ki uska kitna charges hoga and customer care service bhi acchi honi chayia,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,Home Credit me Loan approval bhut jaldi se aata hai.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
7,Telugu Customer care call not connected,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
9,JALDIE LOAN MIL JATA HAI,7,Passive,No positive reason
4,interest jada hai,4,Detractor,No positive reason
10,Untimely loans are available.,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,loan approval jaldi nhi milta,2,Detractor,No positive reason
8,everything is good = interest rate jayda hai.,9,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
9,EMI నేను చెల్లించాను కానీ మల్లి కట్ అయింది,7,Passive,Overall satisfaction – Everything was ok/without problems
1,"payment by online that shown in the app , had deducted customer extra charges and the information is not give him correctly regarding flexible loan",0,Detractor,No positive reason
10,fast process kam documents lagte,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient"
8,CUSTOMER  CARE SY CONTACT NAHI HO PATA,10,Promoters,I received the loan from HC when I was in need
8,Agar kisi ne 3-4 Loan le rkhe hai Home Credit se to ek hi sath me sab kuch jodkar customer ke pass Message kar diya jata hai jabki har Loan ka alag se Details ke sath message aana chahiye.,10,Promoters,No positive reason
10,jarurat pr loan mil kata h,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,jaldi aproval or processing good,8,Passive,Customer care service is good|Convenient repayment process / collection
7,"positive: flexible loan is good service , negative : no contact with customer care",10,Promoters,Good previous experience / HC resolved my problem|Provide loans to everyone without loan history or credit score
10,Home credit services are good.,7,Passive,Overall satisfaction – Everything was ok/without problems
7,LOAN APPROVAL JALDI MIL JATA HAIN,9,Promoters,"Application Process - Easy, Fast and Convenient"
8,interest rat jada hai,5,Detractor,No positive reason
10,JARURAT KE SAMEYA LOAN MIL GYA,10,Promoters,Already recommended to my friends
10,need ke according loan mil gaya.,9,Promoters,No positive reason
1,Customer's EMI is being deducted more and can't even talk to customer executive,0,Detractor,No positive reason
8,emi auto debit nahi hui  date over hone par,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,"less documentation  , quick loan approval",10,Promoters,Good previous experience / HC resolved my problem
6,account mein paise rahane ke bavjud bhi bahut jyada message aata hai ki account mein paisa rakhiye,7,Passive,Less Documents required for taking a loan / convenient loan application process
8,everything is good . time per loan mil jata hai.,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need|Affordable Product & Services - Price, fees and terms"
10,EASY PROCESS HAI,8,Passive,No positive reason
10,loan approval fast hain,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,"We have already paid our EMI, even after that we keep getting call messages regarding payment due, I am very upset.",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,"positive : repayment and collection process is easy , negative: no contact with customer care",10,Promoters,Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems
8,CUSTOMER CARE SE BAAT NHI HO PATI COMMUNICATION NHI HO PATA,9,Promoters,"Application Process - Easy, Fast and Convenient"
8,Quick loan approvals,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
9,JALDI LOAN MIL GYA,9,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,Quick loan approvals,6,Detractor,Overall satisfaction – Everything was ok/without problems
10,quick loan approval and less documentation,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,FAST PROCESS HAI,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,Easy finance through home credit,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Quick loan approvals,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
5,Interest Rate bhut jyada hai Home Credit ka.,7,Passive,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
10,loan approval fast hain,10,Promoters,"Application Process - Easy, Fast and Convenient"
9,service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,EMI LATE HONAY PER KOI EXTRA CHARGE NAHI LAGTA H,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
10,assan processor jaldi apply ho jata hai,8,Passive,No positive reason
10,Jaldi se Approval aa jata hai Home Credit se.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
10,"In flexible loan, the amount is easily available at the required time.",10,Promoters,I received the loan from HC when I was in need
1,INTEREST RATE JADA HAI,0,Detractor,No positive reason
10,fast service,8,Passive,"Application Process - Easy, Fast and Convenient"
8,home credit ka  process  thoda slow hai,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,JARURAT K TIME JALDI LOAN MILL JATA H,10,Promoters,I received the loan from HC when I was in need
10,get loan when they need,7,Passive,No positive reason
7,interest rate thoda kam hona chayia,6,Detractor,No positive reason
7,Sab kuch acha hai Home Credit me Lekin Customer Care par call Connect nhi hota hai.,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
5,emi date aage badhwane ke liye time chaiye /  customer care se contact nhi ho pata,8,Passive,Already recommended to my friends
1,CUSTOMER HOME CREDIT KA CARD BLOCK HOGA,0,Detractor,No positive reason
9,Home credit system is very good.,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient"
