"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
8,I have no bed experience with this yet,10,Promoters,"Good previous experience / HC resolved my problem|No positive reason|Overall satisfaction – Everything was ok/without problems|Customer care service is good|Application Process - Easy, Fast and Convenient|Convenient repayment process / collection|Affordable Product & Services - Price, fees and terms|Easily available in shops / Dealer recommendation"
1,interest jada hai,0,Detractor,No positive reason
8,good serv,8,Passive,Already recommended to my friends
10,जल्दी लोन मिल जाता है,10,Promoters,Customer care service is good|Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved
7,customer care se baat nhi ho pati problem ke time par customer care se baat karne ka process bhot lamba ha i,9,Promoters,"Application Process - Easy, Fast and Convenient"
3,customer care k agent  se baat honi cheyia and customer ko emi ki date k barre mein all information deni cheyia,0,Detractor,No positive reason
10,jarurat k time per loan mill gya but thoda intrest jyada h,10,Promoters,Good previous experience / HC resolved my problem|I received the loan from HC when I was in need|Already recommended to my friends
9,jaldi approval aajata hai. jarurt ke time par loan mil jata hai. loan limit bi acchi dete hai,7,Passive,Already recommended to my friends|I received the loan from HC when I was in need
5,interest  rate jayda hai. but everything is good.,5,Detractor,No positive reason
9,जल्दी लोन मिल गया,8,Passive,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved
7,10 rating is too high but overall is good,4,Detractor,No positive reason
9,loan mil jata asani se,10,Promoters,Customer care service is good
10,sahi hai sb,10,Promoters,I received the loan from HC when I was in need
10,esay process hai all over good,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,offer nahi mila home credit se,9,Promoters,Already recommended to my friends
9,"DOCUMENT KAM  LAGE, EASY PROCESS MAI LOAN  MIL GAYA.",10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|I trust HC / I know this company"
10,service acchi hai jaldi approval aajata jai reminder calls aati hai due emi ke liye,10,Promoters,Others
1,जिस बैंक का मैंने  अकॉउंट नंबर दिया था लोन लेने के लिए उस  बैंक में मेरा लोन ट्रांसफर नहीं किया गया,0,Detractor,No positive reason
10,fast process hai home credit ka quick process,10,Promoters,"Application Process - Easy, Fast and Convenient"
9,Good interest rate....quickly got money...... Call to customer care is not connecting,9,Promoters,Easily available in shops / Dealer recommendation|Good previous experience / HC resolved my problem|Quick loan approvals / Higher chances of loan getting approved
9,जल्दी लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|Customer care service is good
10,Loan is easily available at the time of need,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems
9,Loans are easily available.,9,Promoters,No positive reason
8,interest rate thoda kam hona cheyia,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,due date is not as per customer and there is no direct contact with customer care,7,Passive,No positive reason
9,Loan is available instantly and there is good service and good app also.,8,Passive,No positive reason
9,time se loan mil gya,10,Promoters,Already recommended to my friends
10,Loan gets approved instantly and easily,8,Passive,Overall satisfaction – Everything was ok/without problems
10,time ke according loan mil jata hai.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,overall service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,Loan processing becomes faster in Home Credit,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,"The only bank, where I was approved by the loan",10,Promoters,Good previous experience / HC resolved my problem
10,loan thondaraga dorukutundi,10,Promoters,"Easily available in shops / Dealer recommendation|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
9,You cooperate well.,10,Promoters,Easily available in shops / Dealer recommendation
10,"emi late hone per extra charge  nhi lagta hai  , jaldi loan mil jata hai.",10,Promoters,HC removed my late payment charges/penalty charges|Quick loan approvals / Higher chances of loan getting approved
10,online app process hai ye acha laga,10,Promoters,"Application Process - Easy, Fast and Convenient"
8,interest rate thoda kam hona cahiye.,7,Passive,No positive reason
9,Loan approval was received quickly and it did not take much time.,10,Promoters,I received the loan from HC when I was in need
10,Loan per time is available through Home Credit.,10,Promoters,No positive reason
6,interest jada hai,3,Detractor,No positive reason
10,लोन लेते समय कोई प्रॉब्लम नहीं होती है जल्दी लोन मिल जाता है,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved|Already recommended to my friends"
8,I got it easy while applying no problem.,8,Passive,Easily available in shops / Dealer recommendation
5,interest rate jyada hain,2,Detractor,No positive reason
9,fast process hai time kam lgta,10,Promoters,Less Documents required for taking a loan / convenient loan application process
5,thoda interest rate jada hai,4,Detractor,No positive reason
10,Loan is available at the time of need,10,Promoters,I received the loan from HC when I was in need|Good previous experience / HC resolved my problem|Overall satisfaction – Everything was ok/without problems
5,"calls is too much , as per customer you don't need to call again and again for EMI  payment",8,Passive,Convenient repayment process / collection
10,no problem time to  time  loan or finance mil jata hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process"
9,Gets loan approval quickly,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved|I trust HC / I know this company
7,interest rate thoda jyada hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,online payment process hai approval aajata hai.,10,Promoters,I received the loan from HC when I was in need
8,loan purpose ..gurinchi ..customer care vallaki call kalavadam ledhu,7,Passive,"Easily available in shops / Dealer recommendation|Application Process - Easy, Fast and Convenient"
9,customer service good,10,Promoters,Customer care service is good|Convenient repayment process / collection
9,"loan amount immediately transfer at bank account it is very good and fast service , message and call alert service good",10,Promoters,Customer care service is good
9,turant finance mil gaya,10,Promoters,"Application Process - Easy, Fast and Convenient|Others"
9,"The installment is automatically deducted from the account, which is quite good.",10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need
9,It is easy to take loan from Home Credit and its process is simple and the service is also good.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Others
1,ब्याज दर के बारे में हमें पहले नहीं बताया गया था ब्याज दर बहुत ज्यादा लिया जाता है,0,Detractor,No positive reason
9,service ache hai,10,Promoters,No positive reason
8,loan dubara nahi milta hai,5,Detractor,No positive reason
9,"customer care service achi hai timly kam hota ,payment process bhi acha hai",10,Promoters,Customer care service is good
9,Get good benefits and all services are better,10,Promoters,Good previous experience / HC resolved my problem|I received the loan from HC when I was in need
10,application process easy hain and loan approval jaldi aa jata hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good|Others
10,home credit customer care  service is  good . everything is good.,10,Promoters,Customer care service is good
10,Fast loan approval  manchiga anipinchindi kani ............. High interest rate,8,Passive,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
9,If the product is financed through home credit then it is quite good but the personal loan is not good at all.,9,Promoters,No positive reason
9,telesales person  timly information provid kar deta hai approval jaldi ajata hai laon ka,9,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,"When a customer takes a loan or finance, there is no problem in approval.",10,Promoters,Customer care service is good
10,jaldi loan mil jata hai,7,Passive,I trust HC / I know this company
5,"interest rate high , procesing high",5,Detractor,Customer care service is good|Overall satisfaction – Everything was ok/without problems
6,"interest rate is high , calls is too much , EMI deduct  timing is not fixed",5,Detractor,No positive reason
9,"Application Process - Easy, Fast and Convenient",10,Promoters,Good previous experience / HC resolved my problem
4,"INTEREST RATE  JAYDA HAI ,  call or message jayda karte hai .",4,Detractor,No positive reason
10,"Service is good, loan or finance process does not take much time",10,Promoters,Already recommended to my friends|Convenient repayment process / collection
10,"kam time se kam time me loan mil jata , jada documents nh lagte",10,Promoters,"Application Process - Easy, Fast and Convenient"
9,Loan is available through Home Credit and installments are deducted from time to time,10,Promoters,No positive reason
8,Home Credit ka Interest Rate bhut Heavy hai.,7,Passive,No positive reason
10,Because personal loan is available,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Easily available in shops / Dealer recommendation
10,Loan approval is done quickly,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,jarurt ke time par loan mil gya. or time se EMI pay ki hai. home credit se Satisfied,10,Promoters,Others
10,Home Credit me Loan jaldi approve ho jata hai. EMI Due date nikalne ke baad bhi Home Credit customer ko time deta hai Pay karne ka.,10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
10,all goood/ jaldi se loan mil gya,10,Promoters,Already recommended to my friends
5,interest rate kam hona chahiye jada hai,3,Detractor,No positive reason
10,I got things through loans.,10,Promoters,HC removed my late payment charges/penalty charges
10,"Application Process Easy, Fast and Convenient .... Giving regular updates...",9,Promoters,Overall satisfaction – Everything was ok/without problems|Easily available in shops / Dealer recommendation
9,Customer is happy with every facility of Home Credit:,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
10,home credit give loan offers for existing customer and quick loan approval,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient|Convenient repayment process / collection"
8,civil score update show,10,Promoters,"No positive reason|Overall satisfaction – Everything was ok/without problems|Customer care service is good|Application Process - Easy, Fast and Convenient|Convenient repayment process / collection|Affordable Product & Services - Price, fees and terms"
6,Any extra charge that was deducted from the customer 4 months ago has not been credited yet.,8,Passive,Overall satisfaction – Everything was ok/without problems
8,Abhi mai itna hi Rating de skta hu aur Home Credit me sab kuch acha hai.,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,24 घंटे में लोन मिल गया था ज्यादा समय नहीं लगा,10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process"
10,"LOAN PROCESS IS CLEAR , CUSTOMER KO THIK  SE GUIDE KIYA JATA  HAI , CALL AATI HAI UPDATE KE LIYE .",10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|Easily available in shops / Dealer recommendation"
10,quick loan approval,10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved
10,all service's good,10,Promoters,I trust HC / I know this company
9,loan jaldi aprroved ho jata h or is company per trust kiya ja sakta,10,Promoters,I trust HC / I know this company|I received the loan from HC when I was in need
6,"late hone per jayda call or message  karte hai,.",7,Passive,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
8,customer experience is okk neither good nor bad,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient"
9,फाइनेंस करवाने के बाद में जल्दी प्रोडक्ट मिल गया था,10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process|Already recommended to my friends"
9,customer care service is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,loan ki limit achi lgi or jaldi loan approved ho jata h,10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need
8,home credit is not available everywhere,6,Detractor,No positive reason
10,Home Credit se Finance aasani se aur Jaldi ho jata hai.,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,jarurt ke time par loan mil gya.,10,Promoters,I received the loan from HC when I was in need
9,I got the loan easily.,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,time jada leta hai limits bhi,5,Detractor,No positive reason
9,interest sahi hai,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,"There was no problem in getting the finance done so the product was easily financed.
There was a slight problem with the EMI. The customer was on auto debit. If the customer had made the payment on his own then there should not have been auto debit.
Even if auto debit was done, it took a lot of time for the refund to be updated.
Refund has come after 1 month",5,Detractor,No positive reason
10,LOAN TIME PER MIL JATA HAI .,10,Promoters,Less Documents required for taking a loan / convenient loan application process|Customer care service is good
9,interest rate acchai hai.,10,Promoters,I trust HC / I know this company
7,customer ne koi reason nhi dia na ook hai all good,8,Passive,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
9,service achi lagi customer ko,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient"
10,कम समय में जल्दी फाइनेंस हो गया था प्रोडक्ट मिल गया था जल्दी,10,Promoters,Customer care service is good|Less Documents required for taking a loan / convenient loan application process
10,"bhot accha process hai, aasani se loan mil gya. aasani se finance mil gya. everything is good.",10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
9,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,"Told me that if you pay your EMI on time then you will have to pay EMI for only 12 months. I paid on time, I still had to pay EMI for 13 months. I did not like this.",5,Detractor,No positive reason
10,"I got the mobile phone on loan, so I like it very much.",9,Promoters,HC removed my late payment charges/penalty charges
10,Overall everything seemed good about Home Credit,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,Home Credit me Product Aasani se Finance ho jata hai.,7,Passive,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved
10,"time per loam mil gaya , call or message karke emi ke liye update karte hai.",10,Promoters,I received the loan from HC when I was in need
10,time se kam ho jata hai.,10,Promoters,I received the loan from HC when I was in need
10,jarurt ke time par Home Credit se Finance ho jata hai aur Home Credit acha time deta hai EMI Pay karne ka. Home Credit me Customer apne hisab se EMI Date rkh skta hai.,10,Promoters,Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
9,other companies se loan nhi mila par home credit se ml gya ye acha lga credit bhi diya gaya,10,Promoters,Others
9,Loan and finance are available on time in Home Credit,10,Promoters,Already recommended to my friends
9,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,Finance is easy to get through Home Credit and the service is also very good.,10,Promoters,Already recommended to my friends
7,"The customer has said that the EMI is being paid on time, then why is he getting the call?",6,Detractor,No positive reason
9,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,time per loan mil  gaya .,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,LOAN APPLICATION REJECT FROM HOME CREDIT,7,Passive,No positive reason
9,jarurat ke time loan mill jata hai,7,Passive,No positive reason
9,"It was easy to get a phone through home credit, the process is also fast.",8,Passive,No positive reason
1,अगर कोई कस्टमर एक बार फाइनेंस  करवाता  है दूसरी बार भी फाइनेंस करवाने के लिए जाता है तो उससे  फाइल चार्ज कम लेना  चाहिए कस्टमर के लिए ब्याज दर कम करना चाहिए दूसरी बार में मुझे कोई डिस्काउंट नहीं दिया गया,4,Detractor,Less Documents required for taking a loan / convenient loan application process
9,Home Credit me sab kuch acha hai lekin bass ek hi dikkat aa rhi hai ki Customer Care par call connect nhi ho raha hai mera.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
10,all service's is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
10,home credit ki facilits achi lagi,10,Promoters,Customer care service is good
9,THE PRODUCT IS AVAILABLE ON EMI AND THEY DO NOT APPLY PENALTY CHARGES IMMEDIATELY IF YOUR PAYMENT GOT LATE,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,Things are easily available through loans.,10,Promoters,No positive reason
9,Documents seem less,10,Promoters,"Application Process - Easy, Fast and Convenient"
8,"A little extra charge is being deducted from the customer within the installment. When the customer had financed the phone, he was being deducted more than the charge he was told. Complete information was not given to the customer.",9,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|Convenient repayment process / collection
2,due payment remove kar diya Jaye,5,Detractor,Already recommended to my friends
9,Customer liked all types of facilities.,10,Promoters,I trust HC / I know this company|I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
9,emi time to time pay krte hai everything is good.,10,Promoters,"Affordable Product & Services - Price, fees and terms"
9,I liked the fact that I got the loan easily.,10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved
9,Home Credit Finance ke time par acha discount deta hai aur Home Credit ka EMI lene ka tarika bhut acha laga.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Others
9,time se emi cut jata hai apne aap,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,customer care ki service acchi hain and loan approval jaldi aa jati hain,8,Passive,Already recommended to my friends
10,customer care ka baat karne ka tarika acha laga,10,Promoters,Others
10,"No extra charge was deducted in the first installment, only the stated charge was deducted.",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,"service is good , but interest rate jayda hai.",8,Passive,No positive reason
9,Loan is available in Home Credit immediately and the service is also good.,7,Passive,No positive reason
8,Mai Home credit App se EMI pay karna chahta hu lekin Mera Card Block show kar raha hai jiss se mai EMI pay nhi kar paa raha hu.,7,Passive,No positive reason
10,कम समय में जल्दी फाइनेंस हो गया था,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process"
9,fastly credited cash,10,Promoters,Good previous experience / HC resolved my problem|No positive reason|Quick loan approvals / Higher chances of loan getting approved
9,loan turant ho jata hai,8,Passive,"Application Process - Easy, Fast and Convenient"
8,It would be great if EMI was available on everything,10,Promoters,Good previous experience / HC resolved my problem|No positive reason
5,I have more money deducted from the EMI installment finance I have done.,5,Detractor,No positive reason
9,interest rate accha hain,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,less document and quick approval,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
9,किस्त पे  करने में अगर ज्यादा समय लग जाता है तो ज्यादा चार्ज नहीं  लिया जाता है,10,Promoters,Customer care service is good|Less Documents required for taking a loan / convenient loan application process
9,Home Credit me saaman Jaldi se Finance ho jata hai.,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
9,"instalment deduct on time , as auto debit system is good",10,Promoters,I received the loan from HC when I was in need
9,Home Credit se Approval bhut jaldi aa jata hai ye baat bhut acha laga.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Others
9,time se phle call kakre preshan nhi kiya emi payment ke liy,10,Promoters,"Others|Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
7,I want to take loan from Home Credit but am not able to get it.,5,Detractor,Overall satisfaction – Everything was ok/without problems
9,time per finance mil gaya.,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
9,jarurt ke time par loan mil gya.,10,Promoters,I received the loan from HC when I was in need
9,"if  someone have no budget for buy mobile phone and etc , they give him instalment option , that was good",10,Promoters,I received the loan from HC when I was in need|I trust HC / I know this company
9,"Home Credit ki Overall Service achhi hai, Documents kam lagta hai aur jaldi Finance ho jata hai.",10,Promoters,Others|Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
9,Kam Documents lagta hai aur aasani se Loan Approve ho jata hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process"
8,Home Credit me sab kuch acha hai pehle se hi lekin abhi itna hi rating de skte hai.,8,Passive,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
3,calls jyada aati hain jis se customer persan hote hain,0,Detractor,No positive reason
6,JYADA CALLS ATI H,6,Detractor,No positive reason
9,Loan is available as per need through Home Credit.,8,Passive,No positive reason
9,service achi hai,8,Passive,No positive reason
9,Loved it for getting the item with zero down payment.,10,Promoters,Customer care service is good
9,"LIMIT IS GOOD , EMI BHI THIK HAI , APPROVAL  JALDI MIL GAYA.",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Already recommended to my friends
9,QUICK LOAN APPROVAL SERVICE IS SO GOOD,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
10,CUSTOMER GOT FIRST TIME APPROVAL FROM HOME CREDIT AS COMPARE TO OTHERS COMPANY,10,Promoters,"I trust HC / I know this company|Affordable Product & Services - Price, fees and terms"
6,interest rat km hona chahiye  debit ka massage ana chahiye ur jarurat ke time loan mill na chahiye,5,Detractor,No positive reason
9,loan jaldi mill gya,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
10,jarurt padne  par loan mil jata hai.,10,Promoters,I received the loan from HC when I was in need
5,loan nhi mil reha hain,6,Detractor,Customer care service is good
8,फाइनेंस करवाने  के बाद में प्रोडक्ट के बारे में पूरी जानकारी नहीं दी गई शॉप की तरफ से,10,Promoters,"Affordable Product & Services - Price, fees and terms"
10,REWARDS AND OFFERS ARE AVAILABLE AND THEY WILL SWAP THE OLD MOBILE PHONE WITH THE NEW ONE LIKE EXCHANGE OFFERS,10,Promoters,Others
10,emi time sy phly hi notification mill jata h,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
10,all over good,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,Easy loan is provided by Home Credit.,8,Passive,No positive reason|Others
9,jarurt ke time loan mil gya.,10,Promoters,I received the loan from HC when I was in need
10,loan approval jaldi aa jata hain,10,Promoters,"Application Process - Easy, Fast and Convenient"
9,QUICK LOAN APPROVAL IS SO GOOD,10,Promoters,"Good previous experience / HC resolved my problem|Affordable Product & Services - Price, fees and terms"
10,call or message  jayda nhi karte hai . time per loan mil gaya .,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
9,कम समय में जल्दी फाइनेंस हो गया,8,Passive,Less Documents required for taking a loan / convenient loan application process
10,Loan approval comes quickly,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,jaldi loan mill gya or intrest rate bhi thik h,10,Promoters,I trust HC / I know this company|I received the loan from HC when I was in need
9,CUSTOMER SERVICE ACHI HAI,8,Passive,No positive reason
7,Home Credit came in handy when I needed a loan,9,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,I liked the time table and rules of Home Credit and the products from Finance are good.,10,Promoters,Good previous experience / HC resolved my problem
9,"service is good , call or message karte hai update ke liye.",10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved|Customer care service is good"
10,"QUICK LOAN APPROVAL , YOU WILL GET INSTANT LOAN",10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|Convenient repayment process / collection"
9,Naku Mundugane Inform chesttunnaru.. nenu marchipoyina kuda Update vastunndi adhi manchiga anipisthundi,10,Promoters,Easily available in shops / Dealer recommendation
3,service best karni chaiye / credit card block kar diya jata hai payment karne ke bad bhi,0,Detractor,No positive reason
5,मेरा ऑटो पे लगा हुआ  था  लेकिन एक दिन पहले मैने ऑनलाइन पेमेंट पे कर दिया था  पेमेंट करने के बाद  भी ऑटो पे से पेमेंट काट ली थी,8,Passive,Less Documents required for taking a loan / convenient loan application process
10,"If you need a loan, you can get it financed immediately.",10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Affordable Product & Services - Price, fees and terms"
9,Home Credit ki saari Service achhi lagi aur Jaldi se Finance ho jata hai.,8,Passive,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems|Others
10,I got the loan easily.,10,Promoters,Others|HC removed my late payment charges/penalty charges
9,"EVERYTHING CAN BE ARRANGED ONLINE , THAT WAS SO  GOOD",10,Promoters,"Affordable Product & Services - Price, fees and terms|Quick loan approvals / Higher chances of loan getting approved"
7,The customer said that more time should be given on the last due date for EMI payment.,8,Passive,Overall satisfaction – Everything was ok/without problems
10,intrest rate acha lga or over all good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
9,loan process easy,10,Promoters,Easily available in shops / Dealer recommendation|Quick loan approvals / Higher chances of loan getting approved
6,interest rate thoda kam hona cahiye.,6,Detractor,Good previous experience / HC resolved my problem
6,inters rat jaga haai,6,Detractor,No positive reason
10,time per loan mil gaya.,10,Promoters,I received the loan from HC when I was in need
9,"EMI DEDUCTED ON TIME , THAT MEANS AUTO DEBIT SERVICE IS GOOD",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
7,Customer apna EMI due date se pehle hi pay karna chahta hai lekin UPI aur Card Payment Home Credit Accept nhi kar rha hai aur Home Credit ke Customer Care agent Time se bhut pehle hi calls kar-kar paresan karna chalu kar dete hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|Others|Less Documents required for taking a loan / convenient loan application process"
10,I got the mobile through loan.,10,Promoters,Overall satisfaction – Everything was ok/without problems|HC removed my late payment charges/penalty charges
9,फ़ास्ट सर्विस है  जल्दी फाइनेंस हो जाता है,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,Customer's EMI is deducted as per the time table.,10,Promoters,I trust HC / I know this company
10,The loan process is completed quickly,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Easily available in shops / Dealer recommendation
7,Customer apne EMI due date se pehle hi payment karna chahta hai lekin aisa nhi ho raha hai aur Customer ko Customer care se bhi Puri sahayat nhi mill rhi hai.,10,Promoters,I received the loan from HC when I was in need|I trust HC / I know this company|Good previous experience / HC resolved my problem|Others|Quick loan approvals / Higher chances of loan getting approved
9,1st time product liya hai home credit se,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,all over good,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,"limit  process is good  , easily finance mil gaya .",10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved|Convenient repayment process / collection|Others"
10,time par loan mil jata hai.,10,Promoters,I received the loan from HC when I was in need
9,loan jaldi approved ho gya tha,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
5,interest charges jada hain/ limit kam hain,5,Detractor,No positive reason
10,"QUICK LOAN APPROVAL , EASY APPLICATION PROCESS  , NO TIME LIMIT  , LESS PAPER WORK",10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient"
8,High interest rate ..,10,Promoters,"Easily available in shops / Dealer recommendation|Application Process - Easy, Fast and Convenient"
8,EMI should automatically cut off,10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need|Others
9,approval jaldi mil gaya.,10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved
9,PRODUCT CAN BE YOURS IN EASY INSTALMENTS AND QUICK APPROVAL SERVICE IS GOOD,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,Home Credit ki service achhi hai EMI ka time par call karke customer ko bata diya jata hai ye acha hai. Home Credit ki App me bhi Jo hum EMI Payment karte hai uska record hona chahhiye (Statement dikhna chahiye ki kinte aur kitne amount ki Payment hui hai). Home Credit ki taraf se Extra paise bhi cut ho rhe hai kyuki jo Dukandar hai ushne bataya tha ki EMI hi pay karna hoga lekin extra Paise bhi cut ho raha hai Home Credit ki taraf se.,10,Promoters,"Others|Application Process - Easy, Fast and Convenient"
10,"everything is good , need ke according finance mil gaya .",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,होम क्रेडिट से लोन लेते वक्त मुझे कोई  भी प्रॉब्लम नहीं हुई थी,10,Promoters,Customer care service is good
8,Home Credit ko Down-Payment thoda kam lena chahiye.,8,Passive,No positive reason
9,EMI due date reminder from Home Credit team is great,9,Promoters,No positive reason
9,There is no problem in the service of Home Credit,8,Passive,No positive reason
