"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
9,"JARURAT KE TIME PAR LOAN MIL JATA , ONLINE PROCESS HAI ACHA LAGA , FAST PROCESS",10,Promoters,"I received the loan from HC when I was in need|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,No,,No,,NO SUGGESTION
9,easy loan ho jata hai hai,10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process",,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
9,JALDIE LOAN MIL GYA,8,Passive,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER CARE KI TARAF SE CUSTOBER KI PURE SAYTA KI JAYE UNKI PROBLAM KA SALUTCION JALDIE KIYA JANA CHYIE
8,everything is good= interest rate jayda hai.,8,Passive,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,time per loan mil jata hai.,No,,interest rate kam kiya jaay.
9,Quick loan approvals,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,No,,No,,It would be better to give two more days apart from the day of EMI payment
7,Abhi jyada time nhi hua hai isliye mai itna hi rating de skta hu abhi baaki Home Credit me sab kuch acha hai. Time-To-Time EMI Bank se Cut ho raha hai ye acha laga.,7,Passive,No positive reason,,,,Don’t have much experience to recommend / Too early to comment.,,,No negative reason,,,Yes,Jaldi se Approval aa gya tha aur jarurat ke time par mill gya tha Loan,No,,No Suggestion
9,approval jaldi aata hai,9,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,कोई कारण नहीं
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER KE LIYE INTEREST THODA KAM KIYA JAYE
10,Loan is available immediately when needed,7,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,I applied for the loan and got the loan immediately and that's when I needed it.,Yes,Customer care is not good at all,Customer support should be good
10,Everything is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,They gave me a loan when I needed it,No,,No Suggestions
7,interest rat jada hai,8,Passive,Customer care service is good,,,,"Yes, I will recommend the brand to people I know",,,High interest rate,,,Yes,interest rat kam hona chahiye,No,,interest rat kam hona chahiye ur sab acha hai
10,"Customer required a loan, he got the loan easily.",10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,Loan was easily availed from Home Credit and reminder of due date also comes.,No,,no suggestion
