"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
9,Home Credit se Loan jaldi se mil jata hai aur Documents bhi bhut kam lagta hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,No,,No,,Jisko Loan ki jarurat hai usko Loan milna chahiye.
9,jaldi loan mil jata hai / jaldi aproval mil jata hai,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,Too many calls/SMS bothering customer,,,Yes,jaldi aproval mil jata hai,No,,no suggestion
10,Get instant loan from Home Credit,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,"There is no problem with Home Credit, the loan is applied instantly.",No,,Suggestion is that Home Credit's service is very good
10,जल्दी लोन मिल गया,10,Promoters,Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,जरूरत के समय लोन मिल गया था,No,,no reason
10,Customer satisfaction with the help of customer care,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,Customer care service was good,Yes,"If I could not repay the two EMIs during the lockdown, I don't know what interest Home Credit charged on it or penalty, and the loan has not been closed yet.",no suggestion
10,Home Credit se Loan Jaldi Mill jata hai.,10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,No,,No,,No Suggestion
5,Home Credit ki service achhi laggi lekin Interest rate bhut jyada hai.,5,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,No,,No,,Interest Rate thoda sa kamm hona chahiye.
10,loan facility ache lagi customer ko,8,Passive,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges|Slow Application process",,,Yes,sab acha hai loan mill jata hai,No,,no suggestion
10,quick loan approval and easy repayment and collection process,10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,"quick loan approval , less time consuming",No,,no suggestion
10,TIME PER LOAN MIL JATA HAI.,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,TIME PER  LOAN MIL JATA HAI.,No,,NO  SUGGESTION.  BUT  INTEREST RATE  JAYDA HAI
6,interest rate jada hai,5,Detractor,No positive reason,,,,"Yes, I will recommend the brand to people I know",,,High interest rate,,,Yes,jaldi loan mil jata hai,No,,interset rate kam hona chahiye
9,"Service is good, if any problem arises then customer care number can be easily contacted.",8,Passive,No positive reason,,,,No specific reason mentioned by the customer.,,,No negative reason,,,Yes,There has been no problem in taking loan from hc,No,,no suggestion
3,loan lene me bhot time lag gyaa,0,Detractor,No positive reason,,,,No neutral reason,,,Problem/Issue not resolved by HC|Bad service quality / Problems with service/Bad experience,,,Yes,customer service achi thi 1st time jab phone finance karwaya tha,Yes,custome service achi nahi / miss behave karte hai,miss communication mis behave na kare
8,Loan Lete time online Application Process thoda hard hai.,7,Passive,No positive reason,,,,I don’t like to recommend to anyone.,,,Slow Application process,,,No,,Yes,Loan se Pehle Customer Care se bhut calls aate hai Home Credit ki taraf se.,Loan Lene se pehle Customer care ke bhut calls aate hai wo kam hona chahiye aur aaj kal Fraud number se calls aate hai isliye Home Credit ke pass koi pehchan honi chahiye jisse customer ko Turant para chal jaaye ki ye call Home Credit ki taraf se hai..
10,Loan is applied quickly in Home Credit,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,I financed the phone with home credit and took a loan. I liked it.,No,,no suggestion
10,jarurt ke time se loan mil jata hai.,10,Promoters,I trust HC / I know this company|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,"loan service's is good
customer care service's is good
all service's is good",No,,"no suggestion
everything is good."
10,quick loan approval and less documents required,8,Passive,Good previous experience / HC resolved my problem,,,,No neutral reason,,,High interest rate,,,Yes,"quick loan approval , less time consuming services",No,,interest rate  must be reduced
10,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,all good,No,,no suggestion
8,"negetive : interest rate jada hai , positive : all over service is good",5,Detractor,No positive reason,,,,Will recommend but am not sure whether they will take it or not,,,High interest rate,,,Yes,approval jaldi aata hai,No,,interest rate kam hona chahiye jada hai
10,"The online process is done with a customer executive, I liked it very much. Loan is available immediately",10,Promoters,Good previous experience / HC resolved my problem|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,"When money is needed, the loan gets approved instantly",No,,"If there is a delay of one or two days in paying the installment, then you can give it a day or two."
10,"time per loan mil jata hai, online facility is  very good .",10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,"online facility is good , time per approval mil jata hai.",No,,no suggestion.
10,जल्दी लोन मिल गया,10,Promoters,Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,जल्दी लोन मिल गया,No,,अगर कोई कस्टमर दो दिन लेट पेमेंट  पे करता है किस्त की तो कस्टमर से  एक्स्ट्रा चार्ज नहीं लेना चाहिए किस्त का
10,"positive: loan millne ka time acha laga
negative: EMI bharne me late ho jata hai usme koi dikat ni hoti",10,Promoters,I received the loan from HC when I was in need,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,jarurat ke time loan mill jata hai,No,,no suggestion
9,Got a loan with down payment,10,Promoters,Easily available in shops / Dealer recommendation,,,,No neutral reason,,,No negative reason,,,No,,No,,No Suggestions
10,in the begginning we join home credit and had good experience because they provide loan  when in need,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|I trust HC / I know this company,,,,No neutral reason,,,No negative reason,,,Yes,"quick loan approval  , easy application process , everything can be arranged online , you don't need to go anywhere and there",No,,interest rate must be low or reduced
9,This is what I got through the loan.,10,Promoters,No positive reason,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
10,Loan is available as per need through Home Cred,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,everything is good,No,,no suggestion
10,Home Credit ka EMI Due Date mujhe bhut acha laga.,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,No,,No,,interest Rate thoda sa aur kam hona chahiye.
10,"extra charges nhi lagte ,  all over service is  good",10,Promoters,Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,customer care ka  baat karne ka tarika acha laga customer se ache se baat karte or information provide karte,No,,no suggestion
10,"Home Credit's service is good, loan gets approved quickly, not many documents are required.",10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,Loan gets approved quickly,No,,"The service is good, but sometimes the balance is not deducted from the account on time, hence we face problems."
9,Overall satisfaction,7,Passive,Easily available in shops / Dealer recommendation,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,No,,No,,No Suggestions
10,"emi process is good, everything is good.",10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,need ke according time per loan mil jata hai.,No,,no suggestion.
7,Loan is not available at the time of need.,10,Promoters,Good previous experience / HC resolved my problem,,,,No neutral reason,,,No negative reason,,,No,,Yes,Customer care number is not available.,"Whenever the customer dials the toll free number, the call is received as customer care number should be dialed."
10,turant loan mil jata hai,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,emegency me loan mil jata hai,No,,no suggestion
10,jaldi approval a jata hai,10,Promoters,No positive reason|Quick loan approvals / Higher chances of loan getting approved,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,sab badiya laga,No,,no suggestion
10,"positive : personal laon acha laga , all over good , negitive : limit kam mili",10,Promoters,"Affordable Product & Services - Price, fees and terms",,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,jarurat ke time par loan mil gya,No,,no suggestion
10,customer care service is good and home credit done what he says,10,Promoters,Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,easy application process and they do not apply penalty charges immediately,Yes,interest rate  is too high in personal loan,interest rate should be  reduced
10,जरूरत के वक्त कम समय में लोन मिल गया था,10,Promoters,Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,High interest rate,,,Yes,जरूरत के वक्त कम समय में लोन मिल गया था,No,,ब्याज कम होना चाहिए
10,Updates from time to time,10,Promoters,Easily available in shops / Dealer recommendation,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,Got a loan with down payment,No,,no suggestions
4,The limit mentioned in Home Credit is not available and the charges are very high.,2,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,,Yes,My home credit has been charged several times.,"The suggestion is to reduce the amount of charge, excessive charge is deducted."
9,Loans are easily available.,9,Promoters,HC removed my late payment charges/penalty charges,,,,No neutral reason,,,No negative reason,,,No,,No,,No suggestion
6,interest rate  jayda hai.,5,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,loan ke liye time per approval mil  jata hai.,No,,interest rate kam kiya jaay.
9,Home Credit se Loan Jaldi se milta hai lekin Interest rate thoda jayda hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,No,,No,,Purane Customers ke liye Interest Rate thoda sa kam hona cahiye Home Credit se.
10,online process hai ye acha laga,8,Passive,No positive reason,,,,No neutral reason,,,Problem/Issue not resolved by HC,,,No,,Yes,customer care se baat nhi hoti problem ke time par,customer care se baat nhi ho pati
1,मैं लोन लेना नहीं चाहता था  मेरी बिना मर्जी के ही अकाउंट में ट्रांसफर कर दिया  ज्यादा लोन,0,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,,Yes,मैं लोन लेना नहीं चाहता था  मेरी बिना मर्जी के ही अकाउंट में ट्रांसफर कर दिया  ज्यादा लोन,"कस्टमर को कितने रुपए का लोन चाहिए  ये पहले कस्टमर से पूछना चाहिए , लोन देने से पहले"
10,Felexi aur Personal Loan dono hi bhut acha laga aur aasani se Loan Mill jata hai Home Credit se,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,Jarurt ke time par Home Credit se Loan mill gya tha.,Yes,Customer care pe Customer ka call jaldi connect hona chahiye.,"Customer Care par call connect nhi hota hai, isliye Customer Care par Call jaldi connect hona chahiye."
10,Home Credit me Application Process bhut aasan aur tez hai aur mujhe Ujjawal EMI Card Banwana chahta hu.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,Home Credit ne Jarurt ke Time par Sath diya tha.,No,,No Suggestion
10,जल्दी लोन मिल गया,10,Promoters,Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,जल्दी लोन मिल गया था,No,,ब्याज कम होना चाहिए
2,"Customer apna Loan Force close karwane ke liye Customer care par baat karne ki bhut kosis kar raha hai lekin uska call connnect nhi ho raha hai aur sath hi sath E-Mail par bhi mail kar raha hai lekin uska bhi reply nhi aa raha hai, Jiske wajhse Customer bhut paresan hai. Customer ke Home Credit APP me bhi bhut dikkat aa rhi hai Details show nhi kar raha hai App.",1,Detractor,No positive reason,,,,No neutral reason,,,Problem/Issue not resolved by HC|Bad service quality / Problems with service/Bad experience|Others,,Customer care se Baat karna chaho to call connect nhi hota hai.,Yes,Interest rate acha laga tha.,Yes,Customer care par call connect nhi ho rhi hai aur Email ka bhi koi Reply nhi mill raha hai.,"Customer Care par call jaldi connect hona chahiye, E-Mail ka bhi Reply jaldi aana chahiye, aur Home Credit ko apna Application thoda sahi karna chahiye usme bhut si details show nhi kar rhi hai."
10,"easy application process and everything can be arranged online , you don't need to go anywhere",8,Passive,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,"easy online application process , EMI deduct on time",No,,interest rate must be charged on loan amount
10,timly payment aagyi thi home credit mai,10,Promoters,"Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection",,,,No neutral reason,,,No negative reason,,,Yes,customer care service achi hai,No,,no suggestion
9,Updates will be given from time to time,10,Promoters,HC removed my late payment charges/penalty charges|Easily available in shops / Dealer recommendation,,,,No neutral reason,,,No negative reason,,,No,,No,,6 months kakunda 12 months vunte better
7,customer care se baat nhi ho pati /,5,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,easy process,Yes,customer care se baat nhi ho pati / process difficuslt hai customer care contact number connect nhi ho pata,customer care contact hona chaiye improve hona chaiye/ proces fees / interest kam hona chaiye
10,jarurat k time per  loan asani sy mill gya,10,Promoters,Good previous experience / HC resolved my problem|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,customer care support acha laga,No,,no suggestion
10,loan approval jaldi aa jata hain,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,customer care service is good,No,,no suggestion
9,I got the loan when I needed home credit,9,Promoters,Good previous experience / HC resolved my problem,,,,Will recommend but am not sure whether they will take it or not,,,Bad service quality / Problems with service/Bad experience,,,Yes,I got the loan at the time I needed it and the details were also good,No,,Because the interest rate is very low
8,customer care s contact nhi ho pata/ proper information nahi di,7,Passive,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,emergency me loan asani mil jata hai,Yes,customer care se connect ni ho pata,interest kam hona chaiye
10,customer care sport acha laga,10,Promoters,I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,online service achi lagi,No,,eak loan amount complet honay per dusra loan jyada amount kar k provide karna chiye customer ko
10,"finance easily mil jata hai,  jaldi approval mil jata hai.",8,Passive,"Application Process - Easy, Fast and Convenient",,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,easy process jaldi approval mil jata hai.,No,,interest rate kam kiya jaay.
7,"positive : call alert service is good , negative : there is too much calls",8,Passive,Customer care service is good,,,,No neutral reason,,,No negative reason|Bad service quality / Problems with service/Bad experience,,,Yes,call remind service is good,No,,no suggestion
10,all serivce's is good,9,Promoters,No positive reason,,,,I don’t like to recommend to anyone.,,,No negative reason,,,Yes,Talks nicely to the customer.,No,,"no suggestion.
everything is good."
10,Overall satisfaction,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Easily available in shops / Dealer recommendation,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,No,,No,,no suggestions
10,"online process hai ye acha laga , fast process hai",10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,time se phle emi payment ke bare mai inform kar diya jata hai,No,,no sugestion
8,"The higher the interest rate, the lower it should be",10,Promoters,Good previous experience / HC resolved my problem,,,,No neutral reason,,,No negative reason,,,Yes,The loan and everything was approved fastly getting,No,,satisfied this time home credit
5,interest rate thoda jada hai.,5,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,home credit se loan and product lena accha laga.,No,,"no suggestion'
everything is good"
8,over all service is good,7,Passive,No positive reason,,,,No specific reason mentioned by the customer.,,,No negative reason,,,Yes,overall service is good,No,,no suggestion
8,"at the time of forclose the loan , they take too much time for NOC",10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,customer care service is good,Yes,"at the time of forclose the loan , they take too much for provide NOC",interest rate should be reduced
10,loan asani sy mill jata h,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,jarurat k time loan mill jata h,No,,first loan complet honay par  dusra loan ammount jyada bada kar usko dubara loan provide karna chiye
10,The loan was obtained from this bank when the loan was not available from the Federal Bank,7,Passive,HC removed my late payment charges/penalty charges,,,,Don’t have much experience to recommend / Too early to comment.,,,Lack of information provided – about terms / procedures,,,Yes,Received the loan on time,No,,Interest rate is very high
5,लोन की शर्तों के बारे में पूरी जानकारी नहीं दी गई मुझे,3,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,No,,Yes,लोन की शर्तों के बारे में पूरी जानकारी नहीं दी गई मुझे,लोन की शर्तों के बारे में  कस्टमर को पूरी जानकारी देनी चाहिए
9,Loans are easily available from Home Credit.,9,Promoters,HC removed my late payment charges/penalty charges,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
7,there is no contact with customer care,7,Passive,No positive reason,,,,No neutral reason,,,Others|Bad service quality / Problems with service/Bad experience,,there is no contact wth customer care,Yes,Keep giving loan offers by calling,No,,"there should be direct contact with customer care , where customer  should  contact to any query in emergency , it can be provide 24*7, interest rate must be reduced and also have an app for i phone user , because there is no app provided for i phone user"
10,The loan and everything was approved immediately,10,Promoters,"Good previous experience / HC resolved my problem|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,it was fastly getting loan from home credit,No,,satisfied with home credit
10,all over good,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,turant loan mil gyaa,No,,no suggestion
10,Payment is automatically deducted from the account. There is no problem in filling the payment.,10,Promoters,I trust HC / I know this company|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,jaldi loan approved ho jata h,No,,no suggestion
9,jarurt ke time par loan mil jata hai.,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,time par loan mil gya.,No,,no suggestion.
10,emi payment late ho jane par extra charges nhi lagte,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,jarat ke time par loan mil jata hai,No,,no suggestion
10,loan approval jaldi aa jata hain,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,loan approval jaldi aa jata hain and  document kam lagte hain,No,,no suggestion
8,loan ke time file charge jayda hai. everything is good.,8,Passive,No positive reason,,,,Will recommend but am not sure whether they will take it or not|Don’t have much experience to recommend / Too early to comment.,,,No negative reason,,,Yes,easily loan mil gaya.,No,,file charge or interest kam kiya jaay.
9,customer service achi lagi,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved|I trust HC / I know this company|Less Documents required for taking a loan / convenient loan application process",,,,No neutral reason,,,No negative reason,,,Yes,jab jarurat thi tab asani sy home credit se loan mill gya,No,,brands k jyada sy  jyada permosen hona chiye iskay bary m jyada logo ko nahi pata h
10,time se sab ho jata hai koi problem nahi aii customer ko,10,Promoters,Customer care service is good|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,time se payment ho jati hai and customer care ka sport acha laga,No,,no suggestion
9,"the only bank , where i was approved by the loan",7,Passive,No positive reason,,,,I don’t like to recommend to anyone.,,,No negative reason,,,Yes,"all the information regarding EMI has shown in the app , so you can aware about instalment pending and all",No,,no suggestion
10,जल्दी लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,जल्दी लोन मिल गया था,No,,no reason
7,"due date change karne ka option hona chiye.
 or foreclosure ka option hona chahiye.",9,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,No,,No,,"due date change karne ka option hona chiye.
 or foreclosure ka option hona chahiye."
10,charges kam hai loan bhi jaldi mil jata hai,10,Promoters,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need",,,,No neutral reason,,,No negative reason,,,Yes,jaldi approval ata hai home credit mai,No,,no suggestion
10,all over good,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,all good,No,,no suggestion
9,jaldi loan approval mill gya,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,home credit ki side sy loan k liye call aii uski service achi lagi customer care ny achy sy sport  kiya,No,,no suggsction
10,sab sahi laga customer ko,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,loan proses acha laga customer ko,No,,no suggestion
10,लोन मिल गया जल्दी,10,Promoters,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,जल्दी अप्रूवल मिल गया लोन के लिए,No,,ब्याज कम होना चाहिए
9,servcie is good and when customer care call not get connected,8,Passive,No positive reason,,,,No neutral reason,,,Others,,customer care se baat ni hoti,No,,No,,The loan details should be properly explained
9,loan time per mil gaya .,8,Passive,Quick loan approvals / Higher chances of loan getting approved,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,time per finance mil gaya.,Yes,Done emi before the emi date but emi get auto debit on the emi date as well.,no suggestion.
9,"positive :  customer care service is good , negative: interest rate is high",8,Passive,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good,,,,No neutral reason,,,High interest rate,,,Yes,"quick loan approval( less time consuming) ,home credit give new loan offers to customers that was so good, home credit service is very fast, you need to make a call to them and they are always available for customer",No,,"interest rate should be reduced ,there must a credit card facility for existing customer atleast and  there must per day loan facility available for customers like paytm pay later give"
9,The application process is quick and easy.,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
9,turant finance mil jata hai,10,Promoters,"Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems",,,,No neutral reason,,,No negative reason,,,Yes,jaldi loan mil jata hai,No,,no suggestion
9,Overall satisfaction,10,Promoters,"Easily available in shops / Dealer recommendation|Application Process - Easy, Fast and Convenient",,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,No,,No,,No suggestions
5,interest rate should be reduced,5,Detractor,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good,,,,Don’t have much experience to recommend / Too early to comment.|I don’t like to recommend to anyone.,,,High interest rate,,,No,,No,,Customer care white not reachable
9,Loans are easily available.,8,Passive,No positive reason,,,,No neutral reason,,,No negative reason,,,Yes,Instant loans available.,Yes,That's why my card is showing block.,no suggestion
8,The interest rate is very high and it would be good to reduce it,6,Detractor,Others,,,,No neutral reason,,,High interest rate,,,Yes,home credit that gave me money in a sudden situation,No,,It will be good if the interest rate is reduced for common people
8,interest rate thoda jada hai.,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,offer's ke liye call kar ke infrom karte hai.,No,,no suggestion.
6,interest rate thoda jyada hain,6,Detractor,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,"Positive: loan approval jaldi aa jata hain  
Negitive: customer care se jaldi se contact nhi ho pata hai",No,,customer care se jaldi se contact nhi ho pata hai
9,KAM DOCMENTS LOAN LAGY OR TIME PER LOAN MILL GYA,10,Promoters,Good previous experience / HC resolved my problem|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,All information is clearly shared with the customer through Home Credit and there is no cheating in any way with the customer.,No,,SABHI KO TIMELY LOAN MILL JANA CHIYE
10,"cash loan time per mil gaya, easily finance mil gaya.",10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,"finance  pura hone per , offer limt badha di gai,.",No,,"no suggestion , interest rate  bhi thik hai ."
1,extra Charges kat jata hai Loan amount transaction karne ke bad,0,Detractor,No positive reason,,,,No neutral reason,,,"Lack of information provided – about terms / procedures|Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,,No,,proper jankari provide ky jaye customer ko
10,"you don't go anywhere , everything can be arranged online",10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,"quick loan approval ,less time consuming and everything can be arranged online , you don't go anywhere",No,,no suggestion
10,time se loan mil gyaa,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,extra koi charges nahi lagte hain,No,,rate of interest jada hai
9,time waste kakunda  online process manchiga anipinchindi,9,Promoters,Easily available in shops / Dealer recommendation|Customer care service is good,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,No,,No,,No suggestions
9,jada calls nhi kiya jata hai customer care dwara,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,quick service calls kakre preshan nhi karte emi late hone par extra charges nhi lete,No,,interset rate jada hai kam hona chahiye
10,"अप्लाई करने के बाद में 
24 घंटे में ही लोन मिल गया था",10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,Yes,"किस्त की डेट होने से पहले ही  मेरे  पास में कॉल आ जाता है क्या आपकी किस्त का  टाइम होने  वाला है 
 इससे मुझे किस्त  का  अरेंजमेंट करने में आसानी हो जाती है",No,,no reason
9,"After searching more, I got the loan easily",8,Passive,I trust HC / I know this company,,,,No specific reason mentioned by the customer.,,,Lack of information provided – about terms / procedures,,,Yes,There has been a good experience with the low rate of interest from home credit,No,,no suggestion
9,jarurat ke time loan mill gaya customer ko,10,Promoters,"I received the loan from HC when I was in need|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,sab kuch acha hai,No,,flaxible loan limit thodi jada honi cahiye.
10,Quick disbursement,9,Promoters,No positive reason,,,,I don’t like to recommend to anyone.,,,No negative reason,,,No,,Yes,foreclosure option is not available,nearby office should be  available
8,interest rate is high and loan amount limit is low,7,Passive,No positive reason,,,,No neutral reason,,,High interest rate|Not happy with the loan amount offered,,,Yes,"quick loan approval is good , in few minutes your loan amount credited in your account",Yes,"there is no direct contact with customer care , no response at all","interest rate should be reduced , loan amount limit should be increases and there must be a tollfree number for contact with customer care"
